Date,Pl0,Pl1,Winner,Pl0 %,Pl1 %,Pl0 Avg odds,Pl1 Avg odds,Pl0 Max odds,Pl1 Max odds,Fair odds for Pl0,Fair odds for Pl1,Bet on Pl0 Value,Bet on Pl1 Value
2010-04-19,De Bakker T.,Falla A.,0.0,0.62,0.38,1.52,2.46,1.62,2.79,1.61,2.63,0.006172839506172844,0.057347670250896106
2010-04-19,Starace P.,Hajek J.,1.0,0.67,0.33,1.34,3.12,1.4,3.64,1.49,3.03,-0.06040268456375844,0.16758241758241765
2010-04-19,Schwank E.,Fognini F.,0.0,0.32,0.68,1.99,1.77,2.14,1.85,3.12,1.47,-0.3141025641025641,0.20540540540540544
2010-04-19,Rochus C.,Garcia-Lopez G.,1.0,0.34,0.66,3.02,1.36,3.25,1.45,2.94,1.52,0.0953846153846154,-0.04605263157894741
2010-04-19,Bellucci T.,Nieminen J.,0.0,0.52,0.48,1.46,2.63,1.5,3.09,1.92,2.08,-0.21874999999999997,0.32686084142394817
2010-04-19,Krajinovic F.,Chela J.I.,1.0,0.31,0.69,5.5,1.13,6.76,1.18,3.23,1.45,0.522189349112426,-0.18620689655172415
2010-04-19,Hernandez O.,Marchenko I.,0.0,0.65,0.35,1.45,2.65,1.52,3.03,1.54,2.86,-0.012987012987012998,0.056105610561056084
2010-04-19,Ventura S.,Almagro N.,1.0,0.13,0.87,7.15,1.09,9.1,1.11,7.69,1.15,0.15494505494505487,-0.034782608695652015
2010-04-19,Cuevas P.,Zeballos H.,0.0,0.61,0.39,1.97,1.77,2.15,1.87,1.64,2.56,0.2372093023255814,-0.26953125
2010-04-19,Kubot L.,Granollers M.,1.0,0.43,0.57,2.15,1.66,2.42,1.75,2.33,1.75,0.037190082644628045,0.0
2010-04-19,Greul S.,Riba P.,0.0,0.64,0.36,2.06,1.72,2.3,1.78,1.56,2.78,0.3217391304347825,-0.35971223021582727
2010-04-19,Andreev I.,Gasquet R.,1.0,0.38,0.62,1.7,2.09,1.82,2.35,2.63,1.61,-0.3079847908745247,0.3148936170212766
2010-04-20,Istomin D.,Robert S.,0.0,0.63,0.37,2.86,1.4,3.2,1.44,1.59,2.7,0.503125,-0.46666666666666673
2010-04-20,Monaco J.,Gimeno-Traver D.,1.0,0.75,0.25,1.27,3.56,1.36,4.27,1.33,4.0,0.022058823529411783,0.06323185011709592
2010-04-20,Chardy J.,Montanes A.,0.0,0.59,0.41,3.42,1.29,4.0,1.35,1.69,2.44,0.5775,-0.4467213114754098
2010-04-20,Ilhan M.,Hewitt L.,1.0,0.07,0.93,3.72,1.26,4.25,1.35,14.29,1.08,-0.7025892232330301,0.2
2010-04-20,Ramos-Vinolas A.,Russell M.,0.0,0.7,0.3,1.61,2.24,1.7,2.49,1.43,3.33,0.15882352941176472,-0.25225225225225223
2010-04-20,Lapentti N.,Melzer J.,1.0,0.35,0.65,1.99,1.79,3.0,1.95,2.86,1.54,0.04666666666666671,0.21025641025641023
2010-04-20,Stakhovsky S.,Zverev M.,0.0,0.57,0.43,2.05,1.73,2.39,1.87,1.75,2.33,0.2677824267782427,-0.19742489270386265
2010-04-20,Robredo T.,Bolelli S.,1.0,0.81,0.19,1.13,5.54,1.17,6.54,1.23,5.26,-0.04878048780487809,0.1957186544342508
2010-04-20,Gulbis E.,Luczak P.,0.0,0.76,0.24,1.36,3.02,1.42,3.55,1.32,4.17,0.07042253521126751,-0.14868105515587532
2010-04-20,Kukushkin M.,Martin A.,1.0,0.35,0.65,1.73,2.0,1.73,2.0,2.86,1.54,-0.3951048951048951,0.22999999999999998
2010-04-20,Lopez F.,Dolgopolov O.,0.0,0.47,0.53,1.63,2.22,1.77,2.5,2.13,1.89,-0.1690140845070422,0.24400000000000005
2010-04-20,Beck A.,Hanescu V.,1.0,0.17,0.83,3.75,1.25,4.15,1.35,5.88,1.2,-0.29421768707482987,0.1111111111111112
2010-04-20,Navarro-Pastor I.,Cuevas P.,0.0,0.21,0.79,3.47,1.29,4.0,1.35,4.76,1.27,-0.15966386554621845,0.05925925925925931
2010-04-20,Greul S.,Almagro N.,1.0,0.15,0.85,5.42,1.13,6.6,1.18,6.67,1.18,-0.010494752623688198,0.0
2010-04-20,Soderling R.,Chela J.I.,0.0,0.63,0.37,1.27,3.57,1.33,4.0,1.59,2.7,-0.16352201257861634,0.32499999999999996
2010-04-21,Gimeno-Traver D.,De Bakker T.,1.0,0.42,0.58,2.09,1.7,2.3,1.88,2.38,1.72,-0.033613445378151294,0.08510638297872336
2010-04-21,Garcia-Lopez G.,Gabashvili T.,0.0,0.7,0.3,1.25,3.72,1.33,4.3,1.43,3.33,-0.06993006993006984,0.22558139534883717
2010-04-21,Hewitt L.,Schwank E.,1.0,0.85,0.15,1.7,2.09,1.78,2.32,1.18,6.67,0.3370786516853933,-0.6521739130434782
2010-04-21,Tsonga J.W.,Hajek J.,0.0,0.9,0.1,1.19,4.44,1.25,6.0,1.11,10.0,0.11199999999999992,-0.4
2010-04-21,Hernandez O.,Melzer J.,1.0,0.32,0.68,3.09,1.35,3.57,1.4,3.12,1.47,0.12605042016806717,-0.047619047619047665
2010-04-21,Gulbis E.,Chardy J.,0.0,0.5,0.5,1.67,2.13,1.75,2.35,2.0,2.0,-0.125,0.14893617021276598
2010-04-21,Granollers M.,Ferrer D.,1.0,0.19,0.81,5.96,1.12,7.58,1.15,5.26,1.23,0.3060686015831135,-0.06504065040650413
2010-04-21,Bellucci T.,Hanescu V.,0.0,0.49,0.51,1.76,1.99,1.87,2.25,2.04,1.96,-0.0833333333333333,0.12888888888888891
2010-04-21,Gonzalez F.,Ramos-Vinolas A.,1.0,0.8,0.2,1.11,6.14,1.14,8.36,1.25,5.0,-0.08800000000000008,0.40191387559808606
2010-04-21,Ferrero J.C.,Stakhovsky S.,0.0,0.92,0.08,1.06,8.27,1.08,11.88,1.09,12.5,-0.009174311926605512,-0.049599999999999936
