Column,Coef
Indoor,0.005383289793538903
Outdoor,0.03258838314694357
Carpet,0.026137510216021474
Clay,0.003487929835943539
Grass,-0.023455443615196872
Hard,0.03180167650371431
ATP250,0.01587054775073857
ATP500,0.023723057429522527
Grand Slam,-0.008729300106400953
Masters 1000,0.044999375612260695
Masters Cup,-0.03789200774563656
1st Round,-0.005793480204798979
2nd Round,0.01792433128368198
3rd Round,-0.0734432367701008
4th Round,0.022421080810187333
Quarterfinals,-0.026571046639702313
Round Robin,0.09054984105651548
Semifinals,-0.007501679059091242
The Final,0.020385862463791676
Rank Index,0.3709012514680601
Pl0 Recent Form,-0.29802038918091056
Pl0 Form,0.30286310724108145
Pl1 Recent Form,0.29792756089514694
Pl1 Form,-0.5040871652507205
Pl0 Perf. vs Similar Opponent,-2.453412915700585
Pl1 Perf. vs Similar Opponent,2.2368559568514117
Pl0 Surface Performance,-3.0225757105101563
Pl1 Surface Performance,3.3909913247721133
H2H Index,-0.02809326409190367
Exp Index,-0.01262219417807798
Reliability Pl0,-0.00436580867652213
Reliability Pl1,-0.10273858269238537
