Date,Pl0,Pl1,Pl0_last_7,Pl0_last_20,Pl1_last_7,Pl1_last_20
2000-01-03,Ljubicic I.,Dosedel S.,0.0,0.0,0.0,0.0
2000-01-03,Enqvist T.,Clement A.,0.0,0.0,0.0,0.0
2000-01-03,Baccanello P.,Escude N.,0.0,0.0,0.0,0.0
2000-01-03,Federer R.,Knippschild J.,0.0,0.0,0.0,0.0
2000-01-03,Woodbridge T.,Fromberg R.,0.0,0.0,0.0,0.0
2000-01-03,Gambill J.M.,Arthurs W.,0.0,0.0,0.0,0.0
2000-01-03,Ilie A.,Grosjean S.,0.0,0.0,0.0,0.0
2000-01-03,Henman T.,Balcells J.,0.0,0.0,0.0,0.0
2000-01-03,Woodforde M.,Hewitt L.,0.0,0.0,0.0,0.0
2000-01-03,Lisnard J.,Tebbutt M.,0.0,0.0,0.0,0.0
2000-01-03,Spadea V.,Martin A.,0.0,0.0,0.0,0.0
2000-01-03,Norman M.,Draper S.,0.0,0.0,0.0,0.0
2000-01-03,Huet S.,Petrovic D.,0.0,0.0,0.0,0.0
2000-01-03,Sekulov J.,Pozzi G.,0.0,0.0,0.0,0.0
2000-01-03,Hrbaty D.,Stoltenberg J.,0.0,0.0,0.0,0.0
2000-01-03,Vinck C.,Goldstein P.,0.0,0.0,0.0,0.0
2000-01-03,Federer R.,Enqvist T.,0.0,0.0,0.0,0.0
2000-01-03,Escude N.,Dosedel S.,0.0,0.0,0.0,0.0
2000-01-03,Gambill J.M.,Grosjean S.,0.0,0.0,0.0,0.0
2000-01-03,Henman T.,Lisnard J.,0.0,0.0,0.0,0.0
2000-01-03,Petrovic D.,Hewitt L.,0.0,0.0,0.0,0.0
2000-01-03,Martin A.,Sekulov J.,0.0,0.0,0.0,0.0
2000-01-03,Fromberg R.,Norman M.,0.0,0.0,0.0,0.0
2000-01-03,Stoltenberg J.,Vinck C.,0.0,0.0,0.0,0.0
2000-01-03,Grosjean S.,Enqvist T.,0.0,0.0,0.0,0.0
2000-01-03,Escude N.,Henman T.,0.0,0.0,0.0,0.0
2000-01-03,Stoltenberg J.,Hewitt L.,0.0,0.0,0.0,0.0
2000-01-03,Norman M.,Martin A.,0.0,0.0,0.0,0.0
2000-01-03,Norman M.,Enqvist T.,0.0,0.0,0.0,0.0
2000-01-03,Hewitt L.,Escude N.,0.0,0.0,0.0,0.0
2000-01-03,Enqvist T.,Hewitt L.,0.0,0.0,0.0,0.0
2000-01-03,Agenor R.,Kumar S.,0.0,0.0,0.0,0.0
2000-01-03,Popp A.,Behrend T.,0.0,0.0,0.0,0.0
2000-01-03,Damm M.,Rochus C.,0.0,0.0,0.0,0.0
2000-01-03,Black B.,Delgado J.,0.0,0.0,0.0,0.0
2000-01-03,Golmard J.,Spottl M.,0.0,0.0,0.0,0.0
2000-01-03,Tieleman L.,Hantschk M.,0.0,0.0,0.0,0.0
2000-01-03,Jonsson F.,Kroslak J.,0.0,0.0,0.0,0.0
2000-01-03,Ogorodov O.,Ketola T.,0.0,0.0,0.0,0.0
2000-01-03,Manta L.,Zib T.,0.0,0.0,0.0,0.0
2000-01-03,Boutter J.,Paes L.,0.0,0.0,0.0,0.0
2000-01-03,Pioline C.,Ram A.,0.0,0.0,0.0,0.0
2000-01-03,Voinea A.,Sanguinetti D.,0.0,0.0,0.0,0.0
2000-01-03,Stanoytchev O.,Kilderry P.,0.0,0.0,0.0,0.0
2000-01-03,Kafelnikov Y.,Tabara M.,0.0,0.0,0.0,0.0
2000-01-03,Vanek J.,Ishii Y.,0.0,0.0,0.0,0.0
2000-01-03,Lopez-Moron A.,Vinciguerra A.,0.0,0.0,0.0,0.0
2000-01-03,Damm M.,Agenor R.,0.0,0.0,0.0,0.0
2000-01-03,Stanoytchev O.,Delgado J.,0.0,0.0,0.0,0.0
2000-01-03,Golmard J.,Jonsson F.,0.0,0.0,0.0,0.0
2000-01-03,Behrend T.,Hantschk M.,0.0,0.0,0.0,0.0
2000-01-03,Ketola T.,Vanek J.,0.0,0.0,0.0,0.0
2000-01-03,Tabara M.,Manta L.,0.0,0.0,0.0,0.0
2000-01-03,Pioline C.,Paes L.,0.0,0.0,0.0,0.0
2000-01-03,Vinciguerra A.,Sanguinetti D.,0.0,0.0,0.0,0.0
2000-01-03,Damm M.,Manta L.,0.0,0.0,0.0,0.0
2000-01-03,Delgado J.,Golmard J.,0.0,0.0,0.0,0.0
2000-01-03,Hantschk M.,Ketola T.,0.0,0.0,0.0,0.0
2000-01-03,Sanguinetti D.,Pioline C.,0.0,0.0,0.0,0.0
2000-01-03,Golmard J.,Damm M.,0.0,0.0,0.0,0.0
2000-01-03,Pioline C.,Hantschk M.,0.0,0.0,0.0,0.0
2000-01-03,Golmard J.,Hantschk M.,0.0,0.0,0.0,0.0
2000-01-03,Novak J.,Bastl G.,0.0,0.0,0.0,0.0
2000-01-03,Berasategui A.,Al-Alawi S.K.,0.0,0.0,0.0,0.0
