Pl0,Pl1,Winner,Pl0 %,Pl1 %,Pl0 Avg odds,Pl1 Avg odds,Pl0 Max odds,Pl1 Max odds,Fair odds for Pl0,Fair odds for Pl1,Bet on Pl0 Value,Bet on Pl1 Value
De Bakker T.,Falla A.,0.0,0.62,0.38,1.52,2.46,1.62,2.79,1.61,2.63,0.006172839506172844,0.057347670250896106
Starace P.,Hajek J.,1.0,0.67,0.33,1.34,3.12,1.4,3.64,1.49,3.03,-0.06040268456375844,0.16758241758241765
Schwank E.,Fognini F.,0.0,0.35,0.65,1.99,1.77,2.14,1.85,2.86,1.54,-0.25174825174825166,0.16756756756756758
Rochus C.,Garcia-Lopez G.,1.0,0.32,0.68,3.02,1.36,3.25,1.45,3.12,1.47,0.039999999999999966,-0.01360544217687076
Bellucci T.,Nieminen J.,0.0,0.58,0.42,1.46,2.63,1.5,3.09,1.72,2.38,-0.12790697674418602,0.2297734627831715
Krajinovic F.,Chela J.I.,1.0,0.16,0.84,5.5,1.13,6.76,1.18,6.25,1.19,0.07544378698224849,-0.008403361344537823
Hernandez O.,Marchenko I.,0.0,0.65,0.35,1.45,2.65,1.52,3.03,1.54,2.86,-0.012987012987012998,0.056105610561056084
Ventura S.,Almagro N.,1.0,0.13,0.87,7.15,1.09,9.1,1.11,7.69,1.15,0.15494505494505487,-0.034782608695652015
Cuevas P.,Zeballos H.,0.0,0.63,0.37,1.97,1.77,2.15,1.87,1.59,2.7,0.2604651162790697,-0.3074074074074074
Kubot L.,Granollers M.,1.0,0.42,0.58,2.15,1.66,2.42,1.75,2.38,1.72,0.016528925619834725,0.017142857142857158
Greul S.,Riba P.,0.0,0.64,0.36,2.06,1.72,2.3,1.78,1.56,2.78,0.3217391304347825,-0.35971223021582727
Andreev I.,Gasquet R.,1.0,0.37,0.63,1.7,2.09,1.82,2.35,2.7,1.59,-0.32592592592592595,0.3234042553191489
Istomin D.,Robert S.,0.0,0.59,0.41,2.86,1.4,3.2,1.44,1.69,2.44,0.47187500000000004,-0.4098360655737705
Monaco J.,Gimeno-Traver D.,1.0,0.76,0.24,1.27,3.56,1.36,4.27,1.32,4.17,0.029411764705882377,0.023419203747072518
Chardy J.,Montanes A.,0.0,0.58,0.42,3.42,1.29,4.0,1.35,1.72,2.38,0.5700000000000001,-0.43277310924369744
Ilhan M.,Hewitt L.,1.0,0.06,0.94,3.72,1.26,4.25,1.35,16.67,1.06,-0.7450509898020397,0.21481481481481482
Ramos-Vinolas A.,Russell M.,0.0,0.61,0.39,1.61,2.24,1.7,2.49,1.64,2.56,0.03529411764705886,-0.027343749999999938
Lapentti N.,Melzer J.,1.0,0.36,0.64,1.99,1.79,3.0,1.95,2.78,1.56,0.0733333333333334,0.19999999999999996
