Column,Coef
Indoor,0.024951672915899212
Outdoor,0.03933942236208744
Carpet,-0.07025393834520828
Clay,-0.1695782912024709
Grass,-0.21052414577220976
Hard,-0.16919579116051847
International,-0.05160677598376521
Premier,-0.021161034866049942
Tour Championships,0.16508095078132753
Grand Slam,-0.02802204465354417
1st Round,-0.17499756206700076
2nd Round,-0.17593141153203393
3rd Round,-0.12831115120966388
4th Round,-0.016466840335213218
Quarterfinals,-0.12791912188674717
Round Robin,-0.32544703571174793
Semifinals,-0.07161283295724513
The Final,-0.13205743721751614
Rank Index,0.5564998801916876
Pl0 Recent Form,-0.3543253054959806
Pl1 Recent Form,0.32893088520360614
Pl0 Perf. vs Similar Opponent,-2.8610797134081443
Pl1 Perf. vs Similar Opponent,2.7813116197511762
Pl0 Surface Performance,-2.6809882370942044
Pl1 Surface Performance,2.5405591625281025
H2H Index,-0.05527196510225445
Exp Index,0.11261699100516265
Reliability Pl0,0.2922315782754074
Reliability Pl1,-0.4035040995800002
