Date,Pl0,Pl1,Pl0_last_7,Pl0_last_20,Pl1_last_7,Pl1_last_20
2007-01-01,Baker L.,Sun T.T.,0.0,0.0,0.0,0.0
2007-01-01,Dulko G.,Myskina A.,0.0,0.0,0.0,0.0
2007-01-01,Birnerova E.,Loit E.,0.0,0.0,0.0,0.0
2007-01-01,Craybas J.,Nakamura A.,0.0,0.0,0.0,0.0
2007-01-01,Morita A.,Bartoli M.,0.0,0.0,0.0,0.0
2007-01-01,Pin C.,Perry S.,0.0,0.0,0.0,0.0
2007-01-01,Kostanic J.,Daniilidou E.,0.0,0.0,0.0,0.0
2007-01-01,Erakovic M.,Tu M.,0.0,0.0,0.0,0.0
2007-01-01,Kanepi K.,Razzano V.,0.0,0.0,0.0,0.0
2007-01-01,Laine E.,Johansson M.,0.0,0.0,0.0,0.0
2007-01-02,Bychkova E.,Meusburger Y.,0.0,0.0,0.0,0.0
2007-01-02,Suarez P.,Muller M.,0.0,0.0,0.0,0.0
2007-01-02,Cibulkova D.,Hantuchova D.,0.0,0.0,0.0,0.0
2007-01-02,Granville L.,Oprandi R.,0.0,0.0,0.0,0.0
2007-01-02,Osterloh L.,Zvonareva V.,0.0,0.0,0.0,0.0
2007-01-02,Jankovic J.,Schruff J.,0.0,0.0,0.0,0.0
2007-01-02,Dulko G.,Craybas J.,1.0,1.0,1.0,1.0
2007-01-02,Loit E.,Bartoli M.,1.0,1.0,1.0,1.0
2007-01-03,Sun T.T.,Suarez P.,1.0,1.0,1.0,1.0
2007-01-03,Daniilidou E.,Erakovic M.,1.0,1.0,1.0,1.0
2007-01-03,Meusburger Y.,Pin C.,1.0,1.0,1.0,1.0
2007-01-03,Jankovic J.,Laine E.,1.0,1.0,1.0,1.0
2007-01-03,Hantuchova D.,Razzano V.,1.0,1.0,1.0,1.0
2007-01-03,Zvonareva V.,Granville L.,1.0,1.0,1.0,1.0
2007-01-03,Loit E.,Pin C.,1.0,1.0,1.0,1.0
2007-01-04,Craybas J.,Suarez P.,1.0,1.0,1.0,1.0
2007-01-04,Daniilidou E.,Jankovic J.,1.0,1.0,1.0,1.0
2007-01-04,Zvonareva V.,Razzano V.,1.0,1.0,1.0,1.0
2007-01-05,Pin C.,Jankovic J.,1.0,1.0,1.0,1.0
2007-01-05,Zvonareva V.,Craybas J.,1.0,1.0,1.0,1.0
2007-01-06,Zvonareva V.,Jankovic J.,1.0,1.0,1.0,1.0
2006-12-31,Castano C.,Golds S.,0.0,0.0,0.0,0.0
2006-12-31,Ivanova E.,Sequera M.,0.0,0.0,0.0,0.0
2006-12-31,Bremond S.,Benesova I.,0.0,0.0,0.0,0.0
2006-12-31,Bammer S.,Hingis M.,0.0,0.0,0.0,0.0
2006-12-31,Vesnina E.,Camerin M.E.,0.0,0.0,0.0,0.0
2006-12-31,Sugiyama A.,Ferguson S.,0.0,0.0,0.0,0.0
2007-01-01,Peer S.,Shaughnessy M.,0.0,0.0,0.0,0.0
2007-01-01,Zahlavova S.,Li N.,0.0,0.0,0.0,0.0
2007-01-01,Srebotnik K.,King V.,0.0,0.0,0.0,0.0
2007-01-01,Fedak Y.,Poutchkova O.,0.0,0.0,0.0,0.0
2007-01-01,Garbin T.,Groenefeld A.L.,0.0,0.0,0.0,0.0
2007-01-01,Vinci R.,Ivanovic A.,0.0,0.0,0.0,0.0
2007-01-01,Pratt N.,Bovina E.,0.0,0.0,0.0,0.0
2007-01-01,Pennetta F.,Kirilenko M.,0.0,0.0,0.0,0.0
2007-01-01,Stosur S.,Peng S.,0.0,0.0,0.0,0.0
2007-01-02,Likhovtseva E.,Safina D.,0.0,0.0,0.0,0.0
2007-01-02,Castano C.,Li N.,1.0,1.0,1.0,1.0
2007-01-02,Bremond S.,Garbin T.,1.0,1.0,1.0,1.0
