Avg_Pl1,Avg_Pl0,B365_Pl1,B365_Pl0,Date,Pl1_Rank,Player 1,Max_Pl1,Max_Pl0,PS_Pl1,PS_Pl0,Pl0_Rank,Player 0,Won,Indoor,Outdoor,Carpet,Clay,Grass,Greenset,Hard,Grand Slam,International,Premier,Tour Championships,1st Round,2nd Round,3rd Round,4th Round,Quarterfinals,Round Robin,Semifinals,The Final,Third Place
,,1.33,3.0,2007-01-01,81,Sun T.T.,,,,,272,Baker L.,1.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
,,1.22,3.75,2007-01-01,16,Myskina A.,,,1.244,4.7,59,Dulko G.,0.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
,,1.72,2.0,2007-01-01,56,Loit E.,,,1.82,2.12,84,Birnerova E.,1.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
,,1.83,1.83,2007-01-01,57,Nakamura A.,,,1.87,2.05,70,Craybas J.,0.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
,,1.16,4.5,2007-01-01,18,Bartoli M.,,,1.185,5.9,180,Morita A.,1.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
,,1.5,2.5,2007-01-01,44,Perry S.,,,1.6669999999999998,2.4,75,Pin C.,0.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
,,1.36,2.87,2007-01-01,36,Daniilidou E.,,,1.3219999999999998,3.81,51,Kostanic J.,1.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
,,1.5,2.5,2007-01-01,90,Tu M.,,,,,162,Erakovic M.,0.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
,,1.83,1.83,2007-01-01,88,Razzano V.,,,1.99,1.9169999999999998,78,Kanepi K.,1.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
,,2.37,1.53,2007-01-01,140,Johansson M.,,,2.63,1.578,74,Laine E.,0.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
,,1.72,2.0,2007-01-02,135,Meusburger Y.,,,1.806,2.14,76,Bychkova E.,1.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
,,2.25,1.57,2007-01-02,34,Muller M.,,,2.7,1.556,178,Suarez P.,0.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
,,1.28,3.25,2007-01-02,17,Hantuchova D.,,,1.185,5.91,153,Cibulkova D.,1.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
,,2.1,1.66,2007-01-02,53,Oprandi R.,,,2.44,1.649,68,Granville L.,0.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
,,1.14,5.0,2007-01-02,24,Zvonareva V.,,,1.178,6.11,118,Osterloh L.,1.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
,,5.5,1.12,2007-01-02,82,Schruff J.,,,6.7,1.159,12,Jankovic J.,0.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
,,1.72,2.0,2007-01-02,70,Craybas J.,,,1.7409999999999999,2.25,59,Dulko G.,1.0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
,,1.28,3.25,2007-01-02,18,Bartoli M.,,,1.272,4.38,56,Loit E.,0.0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
,,1.53,2.37,2007-01-03,178,Suarez P.,,,1.595,2.58,81,Sun T.T.,1.0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
,,4.0,1.22,2007-01-03,162,Erakovic M.,,,4.0,1.3030000000000002,36,Daniilidou E.,0.0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
,,1.53,2.37,2007-01-03,75,Pin C.,,,1.6540000000000001,2.43,135,Meusburger Y.,1.0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
,,5.0,1.14,2007-01-03,74,Laine E.,,,7.1,1.149,12,Jankovic J.,0.0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
,,3.25,1.28,2007-01-03,88,Razzano V.,,,3.96,1.307,17,Hantuchova D.,1.0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
,,3.25,1.28,2007-01-03,68,Granville L.,,,4.87,1.234,24,Zvonareva V.,0.0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
,,2.2,1.61,2007-01-03,75,Pin C.,,,2.21,1.7630000000000001,56,Loit E.,1.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
,,1.72,2.0,2007-01-04,178,Suarez P.,,,1.7690000000000001,2.2,70,Craybas J.,0.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
,,1.19,4.0,2007-01-04,12,Jankovic J.,,,1.2409999999999999,4.75,36,Daniilidou E.,1.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
,,3.25,1.28,2007-01-04,88,Razzano V.,,,3.34,1.3940000000000001,24,Zvonareva V.,0.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
,,1.11,6.0,2007-01-05,12,Jankovic J.,,,1.0979999999999999,9.25,75,Pin C.,1.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
,,3.75,1.25,2007-01-05,70,Craybas J.,,,4.04,1.2990000000000002,24,Zvonareva V.,0.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
,,1.53,2.37,2007-01-06,12,Jankovic J.,,,1.625,2.5,24,Zvonareva V.,1.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
,,5.0,1.14,2006-12-31,599,Golds S.,,,7.3,1.143,54,Castano C.,0.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
,,1.66,2.1,2006-12-31,103,Sequera M.,,,1.69,2.35,183,Ivanova E.,1.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
,,2.0,1.72,2006-12-31,58,Benesova I.,,,2.24,1.746,40,Bremond S.,0.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
,,1.08,6.5,2006-12-31,7,Hingis M.,,,1.095,9.49,49,Bammer S.,1.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
,,2.25,1.57,2006-12-31,50,Camerin M.E.,,,2.3,1.714,47,Vesnina E.,0.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
,,5.0,1.14,2006-12-31,184,Ferguson S.,,,5.25,1.215,26,Sugiyama A.,1.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
,,3.5,1.25,2007-01-01,37,Shaughnessy M.,,,4.0,1.3030000000000002,20,Peer S.,0.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
,,1.16,4.5,2007-01-01,21,Li N.,,,,,156,Zahlavova S.,1.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
,,2.37,1.53,2007-01-01,60,King V.,,,2.51,1.621,23,Srebotnik K.,0.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
,,1.5,2.5,2007-01-01,39,Poutchkova O.,,,1.446,3.04,80,Fedak Y.,1.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
,,1.72,2.0,2007-01-01,19,Groenefeld A.L.,,,1.935,1.9709999999999999,38,Garbin T.,0.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
,,1.19,4.0,2007-01-01,14,Ivanovic A.,,,1.24,4.76,85,Vinci R.,1.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
,,2.25,1.57,2007-01-01,1431,Bovina E.,,,2.36,1.685,77,Pratt N.,0.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
,,2.37,1.53,2007-01-01,30,Kirilenko M.,,,2.55,1.6059999999999999,28,Pennetta F.,1.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
,,2.62,1.44,2007-01-01,55,Peng S.,,,2.95,1.465,29,Stosur S.,0.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
,,1.28,3.25,2007-01-02,11,Safina D.,,,1.361,3.57,43,Likhovtseva E.,1.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
,,1.19,4.0,2007-01-02,21,Li N.,,,1.227,5.0,54,Castano C.,0.0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
,,1.9,1.8,2007-01-02,38,Garbin T.,,,1.8769999999999998,2.04,40,Bremond S.,1.0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
,,1.5,2.5,2007-01-02,23,Srebotnik K.,,,1.472,2.92,47,Vesnina E.,0.0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
,,1.04,9.0,2007-01-02,7,Hingis M.,,,1.05,16.0,77,Pratt N.,1.0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
,,3.25,1.28,2007-01-03,39,Poutchkova O.,,,3.78,1.325,20,Peer S.,0.0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
,,1.1,6.0,2007-01-03,14,Ivanovic A.,,,1.123,8.3,103,Sequera M.,1.0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
,,2.75,1.39,2007-01-03,30,Kirilenko M.,,,3.01,1.452,11,Safina D.,0.0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
,,1.12,5.5,2007-01-03,29,Stosur S.,,,1.1340000000000001,7.77,184,Ferguson S.,1.0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
,,1.53,2.37,2007-01-04,47,Vesnina E.,,,1.578,2.63,38,Garbin T.,0.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
,,2.37,1.53,2007-01-04,20,Peer S.,,,2.47,1.6369999999999998,14,Ivanovic A.,1.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
,,2.37,1.53,2007-01-04,29,Stosur S.,,,2.54,1.61,11,Safina D.,0.0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
